player,team,position,c/a,yds,td,int,car,yds,td,rec,yds,td,tar,2pc,fuml,td,fpts,avg
Deebo Samuel,SF,WR,390/605,3740,22,10,20,5,1,0,0,0,0,0,5,0,218.1,13.6
Aaron Rodgers,GB,QB,0/0,0,0,0,228,1259,8,20,174,1,25,0,1,0,215.3,15.4
Justin Jefferson,Min,WR,0/0,0,0,0,1,12,0,77,1053,5,130,0,0,0,213.5,12.6
Matthew Stafford,LAR,QB,0/0,0,0,0,202,929,15,18,132,0,21,0,2,0,210.1,14.0
Dak Prescott,Dal,QB,0/1,0,0,0,151,617,5,62,452,2,78,0,1,0,208.9,16.1
Joe Burrow,Cin,QB,0/0,0,0,0,0,0,0,78,808,8,104,0,0,0,208.8,12.3
Jalen Hurts,Phi,QB,1/1,33,0,0,1,11,0,77,982,5,103,0,0,0,207.62,12.2
Ja'Marr Chase,Cin,WR,0/0,0,0,0,249,1159,6,34,224,0,49,0,2,0,206.3,15.9
Mark Andrews,Bal,TE,0/0,0,0,0,203,903,4,43,316,3,53,0,1,0,204.9,12.1
Najee Harris,Pit,RB,285/426,3052,18,7,30,106,2,0,0,0,0,0,1,0,202.68,14.5
Kyler Murray,Ari,QB,0/0,0,0,0,0,0,0,68,865,8,103,0,0,0,202.5,13.5
Kirk Cousins,Min,QB,0/0,0,0,0,1,2,0,67,726,10,95,0,0,0,199.8,15.4
Tyreek Hill,Mia,WR,359/602,3641,12,17,73,334,2,0,0,0,0,0,5,0,199.04,11.7
Joe Mixon,Cin,RB,0/0,0,0,0,3,20,0,71,910,6,94,0,1,0,198.0,14.1
Devin Singletary,Buf,RB,0/0,0,0,0,188,870,7,40,228,1,50,0,0,0,197.8,11.6
Darrel Williams,FA,RB,0/0,0,0,0,144,558,6,47,452,2,57,0,0,0,196.0,11.5
Melvin Gordon III,Den,RB,0/0,0,0,0,203,918,8,28,213,2,38,0,3,0,195.1,12.2
David Montgomery,Chi,RB,0/1,0,0,1,225,849,7,42,301,0,51,0,1,0,195.0,15.0
Jared Goff,Det,QB,332/494,3245,19,8,17,87,0,0,0,0,0,0,6,0,194.5,13.9
Derrick Henry,Ten,RB,1/1,5,1,0,219,937,10,18,154,0,20,0,0,0,193.3,24.2
Jakobi Meyers,NE,WR,2/2,45,0,0,1,9,0,83,866,2,126,0,1,0,186.3,11.6
DeVonta Smith,Phi,WR,0/0,0,0,0,0,0,0,64,916,5,104,0,1,0,185.6,10.9
AJ Dillon,GB,RB,0/0,0,0,0,187,803,5,34,313,2,37,0,1,0,185.6,10.9
Tyler Boyd,Cin,WR,1/1,46,0,0,2,22,0,67,828,5,94,0,0,0,183.84,11.5
Tua Tagovailoa,Mia,QB,263/388,2653,16,10,42,128,3,0,0,0,0,0,1,0,180.92,13.9
A.J. Brown,Phi,WR,0/2,0,0,0,2,10,0,63,869,5,105,0,0,0,180.9,13.9
Baker Mayfield,Cle,QB,253/418,3010,17,13,37,134,1,0,11,0,0,0,3,0,180.9,12.9
Zach Ertz,Ari,TE,0/0,0,0,0,1,4,0,74,763,5,112,0,0,0,180.7,10.6
