player,team,position,c/a,yds,td,int,car,yds,td,rec,yds,td,tar,2pc,fuml,td,fpts,avg
Nico Collins,Hou,WR,0/0,0,0,0,86,406,3,2,19,0,5,0,0,0,62.5,8.9
Samaje Perine,Cin,RB,0/0,0,0,0,0,0,0,21,233,3,28,0,0,0,62.3,4.8
Tyler Huntley,Bal,QB,0/0,0,0,0,21,177,1,16,161,0,20,0,0,1,61.8,4.4
Laquon Treadwell,Jax,WR,0/0,0,0,0,0,0,0,25,245,2,33,0,0,0,61.5,5.1
Kadarius Toney,NYG,WR,0/0,0,0,0,40,164,2,16,103,1,23,0,0,0,60.7,5.1
Jauan Jennings,SF,WR,0/0,0,0,0,0,0,0,14,223,4,28,0,0,0,60.3,4.0
Tyrod Taylor,NYG,QB,0/0,0,0,0,33,138,2,21,133,0,23,0,0,0,60.1,3.5
David Johnson,FA,RB,0/0,0,0,0,0,0,0,26,257,1,39,0,0,0,59.7,4.0
Josh Reynolds,Det,WR,0/0,0,0,0,71,330,3,4,41,0,5,0,0,0,59.1,11.8
Julio Jones,FA,WR,0/0,0,0,0,8,58,0,23,123,3,29,0,0,0,59.1,5.9
Mo Alie-Cox,Ind,TE,0/0,0,0,0,0,0,0,20,190,3,27,0,0,0,59.0,4.9
Adam Humphries,Wsh,WR,0/0,0,0,0,0,0,0,19,208,3,32,0,0,0,57.8,6.4
Ronald Jones II,KC,RB,0/0,0,0,0,0,0,0,24,275,1,47,0,0,0,57.5,4.8
Jack Doyle,Ind,TE,0/0,0,0,0,2,-1,0,20,313,1,40,0,0,0,57.2,4.1
Anthony Firkser,Atl,TE,0/0,0,0,0,51,256,2,8,105,0,9,0,0,0,56.1,6.2
Khalil Herbert,Chi,RB,0/0,0,0,0,68,266,2,10,73,0,12,0,0,0,55.9,4.0
Keelan Cole,LV,WR,0/0,0,0,0,0,0,0,20,178,3,28,0,0,0,55.8,6.2
Cameron Brate,TB,TE,0/0,0,0,0,0,0,0,21,227,2,22,0,0,0,55.7,5.6
Jalen Reagor,Phi,WR,65/95,702,5,1,9,42,1,0,0,0,0,0,1,0,54.28,13.6
Sterling Shepard,NYG,WR,0/0,0,0,0,0,0,0,18,196,3,25,0,1,0,53.6,8.9
Devin Duvernay,Bal,WR,0/0,0,0,0,3,11,1,20,180,1,35,0,0,0,53.1,3.5
Albert Okwuegbunam,Den,TE,0/0,0,0,0,0,0,0,13,159,4,22,0,0,0,52.9,4.4
Jamal Agnew,Jax,WR,0/0,0,0,0,9,47,1,20,178,1,26,0,1,0,52.5,3.5
Drew Lock,Sea,QB,67/111,787,2,2,10,53,2,1,1,0,1,0,1,0,51.88,8.6
Jeff Wilson Jr.,SF,RB,0/0,0,0,0,79,294,2,7,31,0,8,0,0,0,51.5,6.4
Tevin Coleman,NYJ,RB,0/0,0,0,0,84,356,0,11,49,0,16,0,0,0,51.5,4.7
Tavon Austin,FA,WR,0/0,0,0,0,3,21,0,24,213,1,37,0,1,0,51.4,4.7
John Bates,Wsh,TE,0/0,0,0,0,0,0,0,20,249,1,25,0,0,0,50.9,4.6
Jimmy Graham,FA,TE,0/0,0,0,0,0,0,0,14,167,3,23,0,0,0,50.7,4.6
Demetric Felton,Cle,RB,0/0,0,0,0,7,24,0,18,181,2,21,0,0,0,50.5,3.2
Robert Tonyan,GB,TE,0/0,0,0,0,0,0,0,18,204,2,29,0,0,0,50.4,6.3
James O'Shaughnessy,Chi,TE,0/0,0,0,0,0,0,0,24,244,0,34,0,0,0,50.4,7.2
Dare Ogunbowale,Hou,RB,0/0,0,0,0,43,137,1,13,114,1,21,0,0,0,50.1,3.9
Will Dissly,Sea,TE,0/0,0,0,0,0,0,0,21,231,1,26,0,0,0,50.1,3.9
Peyton Barber,FA,RB,0/0,0,0,0,55,212,2,10,67,0,13,0,0,0,49.9,5.5
Lil'Jordan Humphrey,NO,WR,0/0,0,0,0,0,0,0,13,249,2,18,0,0,0,49.9,5.5
Chris Evans,Cin,RB,0/0,0,0,0,17,77,0,15,151,2,17,0,0,0,49.8,4.5
JaMycal Hasty,SF,RB,0/0,0,0,0,16,68,1,23,157,0,29,0,1,0,49.5,4.5
Quintez Cephus,Det,WR,0/0,0,0,0,0,0,0,15,204,2,23,0,0,0,49.4,9.9
Brandon Zylstra,Car,WR,0/1,0,0,0,0,0,0,18,250,1,25,0,0,0,49.0,3.8
Cam Sims,Wsh,WR,0/0,0,0,0,1,7,0,15,211,2,23,0,0,0,48.8,4.1
MyCole Pruitt,FA,TE,0/0,0,0,0,0,0,0,14,145,3,18,0,0,0,48.5,4.0
Chris Carson,Sea,RB,0/0,0,0,0,54,232,3,6,29,0,6,0,1,0,48.1,12.0
Tajae Sharpe,Chi,WR,0/0,0,0,0,0,0,0,25,230,0,37,0,0,0,48.0,3.4
Albert Wilson,FA,WR,0/1,0,0,0,4,17,0,25,213,0,39,0,0,0,48.0,4.4
Trey Lance,SF,QB,57/85,638,5,2,9,28,0,0,0,0,0,0,0,0,46.32,11.6
Damiere Byrd,Atl,WR,0/0,0,0,0,72,253,1,12,65,0,21,0,2,0,45.8,4.2
Chris Conley,Hou,WR,0/0,0,0,0,3,32,0,13,173,2,22,0,0,0,45.5,2.7
Hayden Hurst,Cin,TE,0/0,0,0,0,88,249,1,4,45,1,5,0,0,0,45.4,3.2
Adam Trautman,NO,TE,0/0,0,0,0,0,0,0,12,149,3,16,0,0,0,44.9,5.0
Jordan Howard,FA,RB,0/0,0,0,0,1,14,0,10,212,2,12,0,0,0,44.6,11.2
Harrison Bryant,Cle,TE,0/0,0,0,0,0,0,0,23,214,0,28,0,0,0,44.4,3.2
Travis Homer,Sea,RB,88/132,953,5,8,5,-1,0,0,0,0,0,0,0,0,44.02,11.0
Josiah Deguara,GB,TE,0/0,0,0,0,26,125,1,7,72,2,9,0,1,0,42.7,5.3
Damien Williams,Atl,RB,0/0,0,0,0,35,185,1,9,84,0,12,0,0,0,41.9,4.7
Mack Hollins,LV,WR,0/0,0,0,0,1,3,0,24,214,0,33,0,2,0,41.7,3.2
DeeJay Dallas,Sea,RB,0/0,0,0,0,0,0,0,16,193,1,17,0,0,0,41.3,8.3
Colt McCoy,Ari,QB,74/99,740,3,1,22,37,0,0,0,0,0,0,1,0,41.3,5.2
John Ross,FA,WR,0/0,0,0,0,1,16,0,11,224,1,20,0,0,0,41.0,4.6
Isaiah Ford,FA,WR,0/0,0,0,0,0,0,0,12,161,2,17,0,0,0,40.1,3.3
Jakeem Grant Sr.,Cle,WR,0/0,0,0,0,5,33,0,11,132,2,17,0,3,1,39.5,2.6
Tyler Kroft,FA,TE,0/0,0,0,0,0,0,0,16,173,1,25,0,0,0,39.3,4.4
Salvon Ahmed,Mia,RB,0/0,0,0,0,54,149,0,12,117,0,19,0,0,0,38.6,3.5
Kendall Hinton,Den,WR,1/1,1,0,0,0,0,0,15,175,1,23,0,0,0,38.54,3.0
Stephen Anderson,Ari,TE,0/0,0,0,0,0,0,0,16,165,1,19,0,0,0,38.5,3.0
Le'Veon Bell,FA,RB,0/0,0,0,0,39,101,2,5,30,1,7,0,0,0,38.1,4.8
Pharaoh Brown,Hou,TE,0/0,0,0,0,0,0,0,23,171,0,34,0,1,0,38.1,2.9
Ian Thomas,Car,TE,0/0,0,0,0,0,0,0,18,188,0,30,0,0,0,36.8,2.5
Ke'Shawn Vaughn,TB,RB,0/0,0,0,0,36,180,2,4,26,0,8,0,0,0,36.6,6.1
James Proche II,Bal,WR,0/0,0,0,0,0,0,0,16,202,0,20,0,0,0,36.2,5.2
Jerick McKinnon,FA,RB,0/0,0,0,0,12,62,0,13,107,1,20,0,0,0,35.9,3.6
Elijhaa Penny,FA,RB,0/0,0,0,0,24,99,1,9,30,1,13,0,0,0,35.9,2.6
Zach Gentry,Pit,TE,0/0,0,0,0,0,0,0,19,167,0,25,0,0,0,35.7,3.6
Brock Wright,Det,TE,0/0,0,0,0,0,0,0,12,117,2,17,0,0,0,35.7,4.5
Craig Reynolds,Det,RB,0/0,0,0,0,55,230,0,7,52,0,8,0,0,0,35.2,7.0
JuJu Smith-Schuster,KC,WR,0/0,0,0,0,3,9,1,15,129,0,28,0,0,0,34.8,7.0
Royce Freeman,Hou,RB,0/0,0,0,0,56,169,0,10,77,0,16,0,0,0,34.6,2.9
Greg Ward,Phi,WR,1/2,2,0,0,0,0,0,7,95,3,11,0,0,0,34.58,3.5
Noah Brown,Dal,WR,0/0,0,0,0,0,0,0,16,184,0,25,0,0,0,34.4,3.1
DJ Chark Jr.,Det,WR,0/0,0,0,0,0,0,0,7,154,2,22,0,0,0,34.4,11.5
Gardner Minshew,Phi,QB,41/60,439,4,1,9,21,0,0,0,0,0,0,0,0,33.66,8.4
O.J. Howard,Buf,TE,0/0,0,0,0,0,0,0,14,135,1,21,0,0,0,33.5,2.8
Anthony Schwartz,Cle,WR,0/0,0,0,0,6,39,0,10,135,1,23,0,0,0,33.4,2.4
Breshad Perriman,TB,WR,0/0,0,0,0,1,-3,0,11,167,1,18,0,0,0,33.4,6.7
C.J. Ham,Min,RB,0/0,0,0,0,7,34,0,17,125,0,18,0,0,0,32.9,2.2
Terrace Marshall Jr.,Car,WR,0/0,0,0,0,0,0,0,17,138,0,30,0,0,0,32.8,2.7
Mohamed Sanu Sr.,FA,WR,0/0,0,0,0,0,0,0,15,177,0,24,0,0,0,32.7,4.1
Blake Jarwin,Dal,TE,0/0,0,0,0,0,0,0,11,96,2,18,0,0,0,32.6,4.7
Eric Ebron,FA,TE,0/0,0,0,0,1,1,1,12,84,1,18,0,0,0,32.5,4.1
Parris Campbell,Ind,WR,0/0,0,0,0,0,0,0,10,162,1,20,0,0,0,32.2,5.4
James White,NE,RB,0/0,0,0,0,10,38,1,12,94,0,14,0,0,0,31.2,10.4
Mike Glennon,FA,QB,90/167,790,4,10,7,33,1,0,0,0,0,0,3,0,30.9,5.2
KhaDarel Hodge,Atl,WR,0/0,0,0,0,0,0,0,13,157,0,27,0,0,0,30.7,2.4
Ty Montgomery,NE,WR,0/0,0,0,0,15,44,0,16,95,0,26,0,0,0,29.9,2.3
Corey Clement,FA,RB,0/0,0,0,0,33,140,0,6,29,1,7,0,0,0,28.9,2.6
Josh Johnson,Den,QB,47/72,462,3,1,12,22,0,0,0,0,0,0,1,0,28.68,5.7
Carlos Hyde,Jax,RB,0/0,0,0,0,0,0,0,5,116,2,6,0,0,0,28.6,4.1
Ashton Dulin,Ind,WR,0/0,0,0,0,0,0,0,12,184,0,22,0,1,0,28.4,2.8
Phillip Lindsay,FA,RB,0/0,0,0,0,41,167,1,3,26,0,4,0,0,0,28.3,4.7
Malik Turner,SF,WR,0/0,0,0,0,4,59,0,10,64,1,20,0,0,0,28.3,3.1
Cyril Grayson,TB,WR,0/0,0,0,0,0,0,0,9,133,1,15,0,0,0,28.3,4.0
Marcedes Lewis,GB,TE,0/0,0,0,0,1,-4,0,12,165,0,25,0,0,0,28.1,2.6
Mike White,NYJ,QB,0/0,0,0,0,34,118,1,6,42,0,7,0,0,0,28.0,3.1
Matt Breida,NYG,RB,0/0,0,0,0,18,118,1,7,60,0,10,0,2,0,26.8,1.8
Adrian Peterson,FA,RB,0/0,0,0,0,38,98,2,4,8,0,4,0,0,0,26.6,6.7
Jermar Jefferson,Det,RB,0/0,0,0,0,15,74,2,4,23,0,5,0,0,0,25.7,6.4
Dante Pettis,Chi,WR,1/1,16,0,0,0,0,0,10,87,1,16,0,0,0,25.34,8.4
Marcus Johnson,SF,WR,0/0,0,0,0,2,-2,0,9,160,0,19,0,0,0,24.8,3.5
Alec Ingold,Mia,RB,0/0,0,0,0,2,1,0,10,85,1,12,0,0,0,24.6,3.5
Tim Boyle,Det,QB,61/94,526,3,6,2,13,0,0,0,0,0,0,0,0,24.34,4.9
Ben Skowronek,LAR,WR,0/0,0,0,0,0,0,0,11,133,0,20,0,0,0,24.3,2.0
Cooper Rush,Dal,QB,30/47,422,3,1,9,-8,0,0,0,0,0,0,1,0,24.08,6.0
Joe Flacco,NYJ,QB,27/42,338,3,0,2,3,0,0,0,0,0,0,1,0,23.82,11.9
Trent Sherfield,Mia,WR,0/0,0,0,0,0,0,0,9,87,1,20,0,0,0,23.7,2.0
Jalen Richard,FA,RB,0/0,0,0,0,9,40,0,12,72,0,14,0,0,0,23.2,2.6
Kene Nwangwu,Min,RB,0/0,0,0,0,13,61,0,4,9,0,5,0,0,2,23.0,2.6
Adam Shaheen,Mia,TE,0/0,0,0,0,0,0,0,12,110,0,16,0,0,0,23.0,2.3
Malcolm Brown,FA,RB,0/0,0,0,0,33,125,1,3,10,0,5,0,0,0,22.5,3.8
Tony Jones Jr.,NO,RB,0/0,0,0,0,54,142,0,5,29,0,8,0,0,0,22.1,2.0
Jody Fortson,KC,TE,0/0,0,0,0,0,0,0,5,47,2,5,0,0,0,21.7,5.4
Kylen Granson,Ind,TE,0/0,0,0,0,0,0,0,11,106,0,15,0,0,0,21.6,1.7
Collin Johnson,NYG,WR,0/0,0,0,0,0,0,0,11,105,0,21,0,0,0,21.5,2.4
Lee Smith,FA,TE,0/0,0,0,0,0,0,0,9,65,1,11,0,0,0,21.5,2.2
Denzel Mims,NYJ,WR,0/0,0,0,0,0,0,0,8,133,0,23,0,0,0,21.3,2.1
Jordan Love,GB,QB,36/62,411,2,3,12,27,0,0,0,0,0,0,1,0,21.14,3.5
Patrick Ricard,Bal,RB,0/0,0,0,0,2,4,0,8,63,1,13,0,0,0,20.7,2.6
Jonathan Williams,Wsh,RB,0/0,0,0,0,17,79,1,4,28,0,6,0,0,0,20.7,4.1
Jacob Hollister,LV,TE,0/0,0,0,0,0,0,0,9,55,1,14,0,0,0,20.5,2.9
Trinity Benson,Det,WR,0/0,0,0,0,0,0,0,10,103,0,22,0,0,0,20.3,2.9
Equanimeous St. Brown,Chi,WR,0/0,0,0,0,3,14,0,9,98,0,17,0,0,0,20.2,1.7
Kristian Wilkerson,NE,WR,0/0,0,0,0,0,0,0,4,42,2,8,0,0,0,20.2,10.1
Qadree Ollison,Atl,RB,0/0,0,0,0,21,105,1,4,12,0,6,0,1,0,19.7,2.8
Tommy Sweeney,Buf,TE,0/0,0,0,0,0,0,0,9,44,1,12,0,0,0,19.4,2.8
Jeff Smith,NYJ,WR,0/0,0,0,0,1,-1,0,8,113,0,17,0,0,0,19.2,2.1
Jesse James,FA,TE,0/0,0,0,0,0,0,0,7,62,1,8,0,0,0,19.2,3.2
Drew Sample,Cin,TE,0/0,0,0,0,0,0,0,11,81,0,15,0,0,0,19.1,1.9
Scotty Miller,TB,WR,0/0,0,0,0,2,43,1,5,38,0,9,0,0,0,19.1,3.2
Chris Manhertz,Jax,TE,0/0,0,0,0,0,0,0,6,71,1,9,0,0,0,19.1,1.9
Austin Walter,FA,RB,0/0,0,0,0,26,101,1,2,9,0,3,0,0,0,19.0,4.8
Kenny Stills,FA,WR,0/0,0,0,0,1,1,0,6,68,1,23,0,0,0,18.9,2.4
Blake Bell,KC,TE,0/0,0,0,0,4,10,0,9,87,0,13,0,0,0,18.7,1.4
Eric Saubert,Den,TE,0/0,0,0,0,0,0,0,8,47,1,12,0,0,0,18.7,1.7
J.J. Taylor,NE,RB,0/0,0,0,0,19,37,2,4,8,0,4,0,1,0,18.5,3.7
Tom Kennedy,Det,WR,1/1,75,1,0,0,0,0,6,54,0,10,0,0,0,18.4,2.6
Mason Rudolph,Pit,QB,35/58,277,1,1,5,53,0,0,0,0,0,0,0,0,18.38,9.2
Case Keenum,Buf,QB,0/0,0,0,0,1,0,0,7,110,0,14,0,0,0,18.0,3.6
Ihmir Smith-Marsette,Min,WR,0/0,0,0,0,9,31,0,9,56,0,10,0,0,0,17.7,1.3
N'Keal Harry,NE,WR,0/0,0,0,0,23,89,1,2,3,0,2,0,0,0,17.2,2.9
Trey Sermon,SF,RB,0/0,0,0,0,33,102,0,5,38,0,6,0,1,0,17.0,1.9
Dee Eskridge,Sea,WR,24/35,250,1,0,4,8,0,0,0,0,0,0,0,0,16.8,16.8
Nick Vannett,NO,TE,0/0,0,0,0,0,0,0,10,68,0,15,0,0,0,16.8,1.1
Dyami Brown,Wsh,WR,0/0,0,0,0,0,0,0,7,36,1,10,0,0,0,16.6,1.8
Eno Benjamin,Ari,RB,0/0,0,0,0,1,-3,0,6,104,0,11,0,0,0,16.1,3.2
Godwin Igwebuike,Det,RB,0/0,0,0,0,0,0,0,2,21,2,3,0,0,0,16.1,4.0
Adrian Peterson,FA,RB,0/0,0,0,0,0,0,0,5,49,1,8,0,0,0,15.9,4.0
Jermar Jefferson,Det,RB,0/0,0,0,0,0,0,0,5,47,1,5,0,0,0,15.7,2.6
Dante Pettis,Chi,WR,0/0,0,0,0,36,87,1,1,-1,0,2,0,0,0,15.6,1.4
Marcus Johnson,SF,WR,0/0,0,0,0,0,0,0,9,66,0,15,0,0,0,15.6,1.3
Dax Milne,Wsh,WR,0/0,0,0,0,1,1,0,9,83,0,14,0,1,0,15.4,1.5
Ross Dwelley,SF,TE,0/0,0,0,0,0,0,0,4,51,1,5,0,0,0,15.1,2.2
Marcus Mariota,Atl,QB,1/2,4,0,0,13,87,1,0,0,0,0,0,0,0,14.86,2.1
Michael Burton,KC,RB,0/0,0,0,0,8,26,1,3,31,0,3,0,0,0,14.7,1.3
Anthony Miller,Pit,WR,0/0,0,0,0,0,0,0,6,25,1,12,0,0,0,14.5,4.8
Josh Gordon,KC,WR,0/0,0,0,0,0,0,0,5,32,1,14,0,0,0,14.2,1.6
Chris Hogan,NO,WR,0/0,0,0,0,0,0,0,4,41,1,8,0,0,0,14.1,2.8
Chris Herndon,FA,TE,0/0,0,0,0,0,0,0,4,40,1,7,0,0,0,14.0,1.8
Jason Cabinda,Det,RB,0/0,0,0,0,3,23,0,4,16,1,7,0,0,0,13.9,1.5
Brandon Allen,Cin,QB,17/34,149,2,0,7,-1,0,0,0,0,0,0,0,0,13.86,2.8
Preston Williams,Mia,WR,0/0,0,0,0,1,7,0,6,71,0,16,0,0,0,13.8,2.0
P.J. Walker,Car,QB,36/66,362,1,3,7,13,0,0,0,0,0,0,1,0,13.78,2.8
Wayne Gallman,FA,RB,0/0,0,0,0,28,104,0,1,21,0,3,0,0,0,13.5,1.7
Benny Snell Jr.,Pit,RB,0/0,0,0,0,36,98,0,2,13,0,4,0,0,0,13.1,0.8
Sean Mannion,Min,QB,22/36,189,1,0,2,14,0,0,0,0,0,0,0,0,12.96,13.0
Marlon Mack,Hou,RB,0/0,0,0,0,28,101,0,2,8,0,5,0,0,0,12.9,2.6
Auden Tate,Atl,WR,0/0,0,0,0,0,0,0,3,39,1,4,0,0,0,12.9,3.2
Penny Hart,Sea,WR,0/0,0,0,0,0,0,0,7,59,0,12,0,0,0,12.9,1.0
Sean McKeon,Dal,TE,0/0,0,0,0,0,0,0,4,27,1,6,0,0,0,12.7,1.6
Luke Farrell,Jax,TE,0/0,0,0,0,0,0,0,7,56,0,11,0,0,0,12.6,1.3
Ryquell Armstead,Jax,RB,0/0,0,0,0,15,80,0,3,16,0,4,0,0,0,12.6,6.3
KJ Hamler,Den,WR,0/0,0,0,0,0,0,0,5,74,0,10,0,0,0,12.4,4.1
Brian Hoyer,NE,QB,9/11,227,1,0,11,-8,0,0,0,0,0,0,0,0,12.28,2.5
Juwann Winfree,GB,WR,0/0,0,0,0,0,0,0,8,58,0,13,0,1,0,11.8,2.4
Jaelon Darden,TB,WR,0/0,0,0,0,1,11,0,6,43,0,12,0,0,0,11.4,1.3
Tyree Jackson,Phi,TE,0/0,0,0,0,0,0,0,3,22,1,7,0,0,0,11.2,2.2
Cameron Batson,FA,WR,0/0,0,0,0,2,15,0,2,15,1,5,0,0,0,11.0,2.8
Jake Fromm,FA,QB,27/60,210,1,3,8,65,0,0,0,0,0,0,1,0,10.9,3.6
Chris Myarick,NYG,TE,0/0,0,0,0,0,0,0,3,17,1,6,0,0,0,10.7,1.8
Tre' McKitty,LAC,TE,0/0,0,0,0,0,0,0,6,45,0,8,0,0,0,10.5,1.8
Ja'Marcus Bradley,Cle,WR,0/0,0,0,0,0,0,0,4,64,0,4,0,0,0,10.4,2.1
Mike Thomas,Cin,WR,0/0,0,0,0,0,0,0,5,52,0,11,0,0,0,10.2,1.1
Charlie Woerner,SF,TE,0/0,0,0,0,0,0,0,5,52,0,6,0,0,0,10.2,1.0
Dezmon Patmon,Ind,WR,0/0,0,0,0,0,0,0,2,21,1,4,0,0,0,10.1,2.0
Andy Janovich,Hou,RB,0/0,0,0,0,2,0,1,3,9,0,4,0,0,0,9.9,1.2
Nick Mullens,LV,QB,20/30,147,1,0,0,0,0,0,0,0,0,0,0,0,9.88,9.9
Curtis Samuel,Wsh,WR,0/0,0,0,0,4,11,0,6,27,0,9,0,0,0,9.8,2.0
Phillip Dorsett II,Hou,WR,0/0,0,0,0,0,0,0,5,48,0,5,0,0,0,9.8,9.8
Keith Smith,Atl,RB,0/0,0,0,0,9,33,0,3,34,0,4,0,0,0,9.7,1.1
Patrick Taylor,GB,RB,0/0,0,0,0,1,6,0,4,51,0,6,0,0,0,9.7,1.6
Joshua Kelley,LAC,RB,0/0,0,0,0,1,11,0,4,45,0,8,0,0,0,9.6,0.6
Nick Foles,FA,QB,0/0,0,0,0,0,0,0,5,43,0,6,0,0,0,9.3,1.9
Dede Westbrook,FA,WR,0/0,0,0,0,5,21,0,1,1,1,1,0,0,0,9.2,1.0
Noah Gray,KC,TE,0/0,0,0,0,3,5,0,2,7,1,2,0,0,0,9.2,3.1
Shi Smith,Car,WR,0/0,0,0,0,13,31,1,0,0,0,0,0,0,0,9.1,1.8
JaQuan Hardy,Dal,RB,0/0,0,0,0,4,29,1,0,0,0,0,0,0,0,8.9,4.5
Wendell Smallwood,FA,RB,0/0,0,0,0,5,25,0,4,22,0,5,0,0,0,8.7,2.9
Jason Moore,LAC,WR,0/0,0,0,0,0,0,0,3,56,0,4,0,0,0,8.6,8.6
William Fuller V,FA,WR,0/0,0,0,0,0,0,0,4,26,0,8,0,0,0,8.6,4.3
Alex Erickson,Wsh,WR,0/0,0,0,0,0,0,0,3,55,0,4,0,0,0,8.5,0.5
Andre Roberts,Car,WR,0/0,0,0,0,3,19,0,1,35,0,2,0,2,1,8.4,0.5
Cody White,Pit,WR,0/0,0,0,0,0,0,0,5,33,0,6,0,0,0,8.3,0.9
Jakob Johnson,LV,RB,0/0,0,0,0,0,0,0,4,43,0,5,0,0,0,8.3,1.2
Colby Parkinson,Sea,TE,0/0,0,0,0,0,0,0,5,33,0,8,0,0,0,8.3,1.4
Darren Fells,TB,TE,0/0,0,0,0,0,0,0,4,43,0,5,0,0,0,8.3,2.1
Mitch Trubisky,Pit,QB,6/8,43,0,1,13,24,1,0,0,0,0,0,0,0,8.12,1.6
Kyle Allen,Hou,QB,12/19,120,1,0,2,11,0,0,0,0,0,0,1,0,7.9,4.0
Garrett Griffin,Det,TE,0/0,0,0,0,0,0,0,4,39,0,4,0,0,0,7.9,1.6
Willie Snead IV,FA,WR,0/0,0,0,0,0,0,0,4,38,0,8,0,0,0,7.8,1.1
Garrett Gilbert,LV,QB,20/31,194,0,0,0,0,0,0,0,0,0,0,0,0,7.76,7.8
Mike Boone,Den,RB,0/0,0,0,0,4,35,0,2,22,0,2,0,0,0,7.7,1.3
Kendall Blanton,LAR,TE,0/0,0,0,0,0,0,0,4,37,0,7,0,0,0,7.7,1.1
Pharoh Cooper,FA,WR,0/0,0,0,0,1,3,0,4,33,0,11,0,0,0,7.6,1.0
Tyler Davis,GB,TE,0/0,0,0,0,0,0,0,4,35,0,5,0,0,0,7.5,0.8
Cody Hollister,Ten,WR,0/0,0,0,0,0,0,0,4,33,0,7,0,0,0,7.3,2.4
Greg Dortch,Ari,WR,0/0,0,0,0,1,24,0,3,15,0,3,0,0,0,6.9,1.4
D.J. Montgomery,NYJ,WR,0/0,0,0,0,0,0,0,3,36,0,6,0,0,0,6.6,2.2
Trayveon Williams,Cin,RB,0/0,0,0,0,15,51,0,1,4,0,2,0,0,0,6.5,1.6
Trevon Wesco,NYJ,RB,0/0,0,0,0,0,0,0,3,35,0,5,0,0,0,6.5,1.1
Christian Blake,FA,WR,0/0,0,0,0,0,0,0,4,25,0,9,0,0,0,6.5,0.8
Shane Zylstra,Det,TE,0/0,0,0,0,0,0,0,3,34,0,7,0,0,0,6.4,3.2
Kalen Ballage,FA,RB,0/0,0,0,0,12,36,0,2,8,0,7,0,0,0,6.4,0.6
Ito Smith,FA,RB,0/0,0,0,0,1,4,1,0,0,0,0,0,0,0,6.4,6.4
Kaden Smith,NYG,TE,0/0,0,0,0,0,0,0,3,33,0,3,0,0,0,6.3,1.6
Jack Stoll,Phi,TE,0/0,0,0,0,0,0,0,4,22,0,5,0,0,0,6.2,1.0
Trent Taylor,Cin,WR,0/0,0,0,0,0,0,0,2,41,0,3,0,0,0,6.1,1.5
Jeremy Sprinkle,Dal,TE,0/0,0,0,0,0,0,0,3,31,0,3,0,0,0,6.1,1.0
Tommy Hudson,Ten,TE,0/0,0,0,0,0,0,0,3,31,0,6,0,0,0,6.1,1.5
Gunner Olszewski,Pit,WR,0/0,0,0,0,1,9,0,2,31,0,3,0,0,0,6.0,0.4
Brandon Powell,LAR,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,1.0
KJ Hill Jr.,FA,WR,0/0,0,0,0,0,0,0,3,30,0,3,0,0,0,6.0,1.0
Reggie Gilliam,Buf,RB,0/0,0,0,0,3,3,0,3,23,0,5,0,0,0,5.6,0.6
J.J. Arcega-Whiteside,Phi,TE,0/0,0,0,0,0,0,0,2,36,0,5,0,0,0,5.6,0.6
Kenny Yeboah,NYJ,TE,0/0,0,0,0,0,0,0,2,36,0,3,0,0,0,5.6,1.4
Gabe Nabers,LAC,RB,0/0,0,0,0,3,8,0,3,17,0,3,0,0,0,5.5,0.7
Trenton Irwin,Cin,WR,0/0,0,0,0,0,0,0,2,34,0,5,0,0,0,5.4,1.1
Dominique Dafney,GB,TE,0/0,0,0,0,0,0,0,2,34,0,4,0,0,0,5.4,0.9
Rodney Smith,FA,RB,0/0,0,0,0,5,9,0,3,14,0,4,0,0,0,5.3,1.8
Jonathan Ward,Ari,RB,0/0,0,0,0,13,51,0,0,0,0,1,0,0,0,5.1,5.1
C.J. Board,NYG,WR,0/0,0,0,0,3,5,0,3,16,0,3,0,0,0,5.1,0.9
Amari Rodgers,GB,WR,0/0,0,0,0,1,4,0,3,17,0,3,0,0,0,5.1,1.7
Parker Hesse,Atl,TE,0/0,0,0,0,0,0,0,2,29,0,2,0,0,0,4.9,1.2
Alex Armah,Wsh,RB,0/0,0,0,0,4,16,0,2,12,0,2,0,0,0,4.8,0.4
Johnny Stanton,Cle,RB,0/0,0,0,0,0,0,0,2,28,0,6,0,0,0,4.8,0.6
Deon Jackson,Ind,RB,0/0,0,0,0,0,0,0,1,38,0,5,0,0,0,4.8,1.2
JaQuan Hardy,Dal,RB,0/0,0,0,0,0,0,0,3,17,0,7,0,0,0,4.7,1.6
Wendell Smallwood,FA,RB,0/0,0,0,0,1,1,0,3,15,0,3,0,0,0,4.6,0.3
Jason Moore,LAC,WR,0/0,0,0,0,0,0,0,2,26,0,3,0,0,0,4.6,2.3
William Fuller V,FA,WR,0/0,0,0,0,0,0,0,3,16,0,5,0,0,0,4.6,0.9
Seth Williams,Den,WR,0/0,0,0,0,0,0,0,1,34,0,1,0,0,0,4.4,2.2
Marcus Kemp,FA,WR,0/0,0,0,0,0,0,0,2,24,0,5,0,0,0,4.4,0.3
Tylan Wallace,Bal,WR,0/0,0,0,0,0,0,0,2,23,0,6,0,0,0,4.3,0.4
Dazz Newsome,Chi,WR,0/0,0,0,0,0,0,0,2,23,0,5,0,0,0,4.3,1.4
